 ,Sale,Broker,Lot #,Desc,Bales,Micron,Y,Y-Z,VM,SD1%,cln kg,Valuation,,Style,Letter Length,Letter helper,,Length ,Comment,LimitGroup,,,,Limits (COF / GSY),X,GSY,COF,Status,Buyer,Allocation
8,I36,PGD,    2058,ROM LBS A,9,31.2,65.3,2.7,0.2,79.6,1125,738/9,738/9,738/9,,,,70,DAMP,L29.5,,,,323    /  257  ,,2.24,2.814070352,S,MAS,
8,I36,PGD,    2059,ROM LBS A,18,31.6,66.8,1.1,0.1,77,2584,738,738,738,,,,68,,L29.5,734,,,319  274  /  246  211,,2.1,2.727272727,S,FUHR,
8,I36,PGD,    2060,ROM LBS B/P A,8,30.8,57.7,5.3,0.1,70.7,923,756- K,756- K,756-,K,K,68,68,,756/7,,,,175    /  124  ,,1.37,1.937765205,S,MAS,
8,I36,PGD,    2061,X H A,17,35.6,61,3.2,0,78.2,1749,"3 F,OT",3 F,3,F,F,100,96,,128 F,,,,262    /  205  ,,1.98,2.531969309,S,CURTIS,
8,I36,PGD,    2062,X A,13,36.3,59.4,4.4,0.1,74,1516,"128- G,OT",128- G,128-,G,G,90,92,OW,128-G,128/9 G,,,239  231  /  177  171,,1.74,2.351351351,S,WSI,
8,I36,PGD,    2063,X A,10,37.1,62.7,4.6,0.1,73.1,1036,128- G+,128- G+,128-,G+,G,90,95,,128-G,128/9 G,,,238  230  /  174  168,,1.73,2.366621067,S,WSI,
8,I36,PGD,    2064,X A,16,36.8,63.7,3.6,0.1,79.5,1831,"3- F,OT",3- F,3-,F,F,100,92,,128-F,128/9F,,,242  231  /  192  184,,1.99,2.503144654,S,FUHR,
8,I36,PGD,    2065,X A,14,38.2,62,5.6,0.1,77.6,1869,"4+ E,OT",4+ E,4+,E,E,105,102,,128-D,128-F,,,245  242  /  190  188,,1.84,2.371134021,S,FUHR,
8,I36,PGD,    2066,X LBS A,7,30.7,64,2,0,78.3,774,734/5,734/5,734/5,,,,68,,L29.5,,,,349    /  273  ,,2.4,3.0651341,S,FUHR,
8,I36,PGD,    2067,X LBS A,6,32.1,66.3,1.2,0,79.4,800,738,738,738,,,,68,,L29.5,734,,,312  270  /  248  214,,2.06,2.594458438,P,WSI,
